City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
kaitangata,-46.28,169.85,283.89,69,97,2.82,NZ,1595288152
rocha,-34.48,-54.33,293.01,81,100,2.16,UY,1595288152
yerbogachen,61.28,108.01,288.18,63,48,2.84,RU,1595288038
port alfred,-33.59,26.89,287.81,73,0,1.83,ZA,1595288152
camocim,-2.9,-40.84,299.67,72,76,6.23,BR,1595288035
saint-augustin,51.23,-58.65,289.0,95,99,4.43,CA,1595288153
norman wells,65.28,-126.83,292.15,72,90,4.1,CA,1595287863
nome,64.5,-165.41,287.59,87,90,4.6,US,1595287986
tateyama,34.98,139.87,298.15,88,75,0.5,JP,1595288153
narsaq,60.92,-46.05,287.15,41,17,3.6,GL,1595288153
nikolskoye,59.7,30.79,290.15,88,95,2.0,RU,1595288153
toamasina,-18.17,49.38,292.0,81,65,4.37,MG,1595288134
calderitas,18.55,-88.25,305.15,59,40,3.6,MX,1595288153
takoradi,4.88,-1.76,297.19,92,100,3.0,GH,1595288153
buraydah,26.33,43.98,306.15,21,0,3.1,SA,1595288153
mangan,27.52,88.53,296.73,58,100,0.57,IN,1595288154
garissa,-0.45,39.64,295.07,74,96,6.82,KE,1595288154
castro,-24.79,-50.01,286.34,84,0,2.04,BR,1595288123
virar,19.47,72.8,301.15,88,75,3.1,IN,1595288154
jamestown,42.1,-79.24,298.15,53,1,5.1,US,1595288142
buckeye,33.37,-112.58,313.15,13,1,3.1,US,1595288154
mikkeli,61.69,27.27,289.82,97,97,0.92,FI,1595288154
thompson,55.74,-97.86,297.15,38,75,1.5,CA,1595288154
khatanga,71.97,102.5,284.35,68,100,1.75,RU,1595288154
lagoa,39.05,-27.98,293.52,73,2,2.41,PT,1595287871
port elizabeth,-33.92,25.57,286.15,100,75,1.0,ZA,1595288155
new norfolk,-42.78,147.06,283.71,88,83,2.28,AU,1595288120
ada,43.42,-116.13,307.15,14,1,4.6,US,1595288076
farafangana,-22.82,47.83,292.29,61,94,1.28,MG,1595288155
busselton,-33.65,115.33,283.71,65,61,6.94,AU,1595288155
tuktoyaktuk,69.45,-133.04,279.15,81,90,4.1,CA,1595288155
albany,42.6,-73.97,303.71,48,68,3.06,US,1595288102
avarua,-21.21,-159.78,299.15,74,90,8.7,CK,1595288014
mingguang,32.78,117.96,297.67,85,100,2.21,CN,1595288155
flinders,-34.58,150.86,286.48,60,3,2.68,AU,1595288155
puerto madryn,-42.77,-65.04,280.6,80,93,8.73,AR,1595287885
maragogi,-9.01,-35.22,296.38,74,34,5.51,BR,1595288156
yellowknife,62.46,-114.35,297.59,53,40,4.1,CA,1595288117
nanortalik,60.14,-45.24,282.11,66,4,0.1,GL,1595288156
upernavik,72.79,-56.15,282.29,53,1,3.89,GL,1595288156
butaritari,3.07,172.79,301.52,67,51,1.67,KI,1595288156
east london,-33.02,27.91,290.19,43,0,2.56,ZA,1595288156
general roca,-39.03,-67.58,282.15,93,75,4.1,AR,1595288156
kodiak,57.79,-152.41,296.15,43,1,5.1,US,1595287993
muzhi,65.37,64.67,286.08,66,29,2.47,RU,1595288156
tezu,27.92,96.17,297.0,87,100,1.19,IN,1595288156
harboore,56.62,8.18,285.37,86,24,0.45,DK,1595288157
sao filipe,14.9,-24.5,297.78,82,49,3.14,CV,1595288157
sao joao da barra,-21.64,-41.05,294.66,85,0,4.81,BR,1595287936
hurricane,37.18,-113.29,314.15,10,1,9.3,US,1595288157
mawlaik,23.63,94.42,298.23,93,100,0.3,MM,1595288157
saint anthony,45.02,-93.22,300.93,47,75,3.6,US,1595288157
grindavik,63.84,-22.43,282.15,81,75,1.5,IS,1595288157
obeliai,55.97,25.15,288.18,95,51,2.73,LT,1595288157
bredasdorp,-34.53,20.04,289.15,93,25,4.6,ZA,1595288114
dikson,73.51,80.55,277.47,95,100,5.69,RU,1595288157
zlobin,45.29,14.65,294.15,77,0,1.0,HR,1595288158
mar del plata,-38.0,-57.56,283.15,100,90,10.3,AR,1595288016
aklavik,68.22,-135.01,283.15,71,75,5.1,CA,1595288158
ponta do sol,32.67,-17.1,295.15,64,40,5.7,PT,1595288158
belaya gora,68.53,146.42,300.97,34,37,4.92,RU,1595287999
pevek,69.7,170.31,281.23,59,8,1.18,RU,1595288158
chilca,-12.52,-76.74,290.15,77,75,4.1,PE,1595288158
tiksi,71.69,128.87,280.74,89,100,4.6,RU,1595288158
inhambane,-23.86,35.38,292.43,67,84,2.38,MZ,1595288158
tiznit,29.58,-9.5,295.29,59,1,0.54,MA,1595288159
flin flon,54.77,-101.86,298.15,38,40,3.1,CA,1595288159
chizhou,30.66,117.48,295.99,94,100,0.82,CN,1595288159
khani,41.96,42.96,298.15,88,98,1.5,GE,1595288159
tasiilaq,65.61,-37.64,280.15,87,1,3.1,GL,1595288159
puerto del rosario,28.5,-13.86,296.15,73,20,8.7,ES,1595288159
bubaque,11.28,-15.83,300.18,80,100,6.34,GW,1595288159
gigmoto,13.78,124.39,301.95,81,93,4.08,PH,1595288159
souillac,-20.52,57.52,293.15,68,75,5.1,MU,1595288159
pelym,61.01,62.0,284.5,78,0,2.05,RU,1595288159
lagoa da prata,-20.02,-45.54,291.21,69,6,1.46,BR,1595288160
harfleur,49.51,0.2,287.15,82,0,2.6,FR,1595288160
pierre,44.37,-100.35,297.59,69,1,3.6,US,1595288102
lakatoro,-16.1,167.42,298.15,65,20,1.0,VU,1595288160
havre-saint-pierre,50.23,-63.6,295.15,68,1,5.1,CA,1595288052
georgetown,5.41,100.34,298.15,94,20,1.0,MY,1595288042
dukat,62.55,155.55,291.39,47,0,2.71,RU,1595288160
mahebourg,-20.41,57.7,293.15,68,75,5.1,MU,1595288160
hearst,49.68,-83.67,292.64,56,67,1.43,CA,1595288160
clarence town,-32.58,151.78,285.93,66,20,6.2,AU,1595288160
qaanaaq,77.48,-69.36,282.15,71,99,0.69,GL,1595287990
kutum,14.2,24.67,295.9,71,15,2.95,SD,1595288161
gat,31.61,34.76,299.26,66,0,0.86,IL,1595288161
jalu,29.03,21.55,298.23,50,0,4.21,LY,1595288161
aswan,24.09,32.91,305.42,21,0,5.68,EG,1595287910
mogadishu,2.04,45.34,298.21,82,74,9.32,SO,1595288161
turukhansk,65.82,87.98,285.0,70,83,5.99,RU,1595288161
port-gentil,-0.72,8.78,297.15,83,20,5.54,GA,1595288161
grajau,-5.82,-46.14,298.92,49,28,1.71,BR,1595288161
gamba,-2.65,10.0,294.64,89,81,1.3,GA,1595288162
san patricio,19.22,-104.7,303.15,84,40,7.7,MX,1595288162
lavrentiya,65.58,-171.0,281.18,75,100,2.48,RU,1595287924
giyon,8.53,37.98,287.11,93,93,0.89,ET,1595288162
khandyga,62.67,135.6,298.3,45,83,4.21,RU,1595288162
adrar,20.5,-10.07,307.42,21,23,0.8,MR,1595288162
eureka,40.8,-124.16,293.15,50,66,1.34,US,1595287983
kalabo,-14.97,22.68,284.16,62,1,1.94,ZM,1595288044
laibin,23.7,109.27,300.26,84,66,3.25,CN,1595288162
dafeng,23.45,108.59,300.17,83,81,3.64,CN,1595288162
altay,47.87,88.12,294.15,55,100,3.3,CN,1595288163
jaen,38.0,-3.5,298.64,33,0,1.84,ES,1595288163
bambous virieux,-20.34,57.76,293.71,68,75,5.1,MU,1595288141
severo-kurilsk,50.68,156.12,285.33,75,6,1.98,RU,1595287906
lemoore,36.3,-119.78,310.15,30,40,2.1,US,1595287882
chaohu,31.6,117.87,297.15,100,100,3.0,CN,1595288163
zhigalovo,54.81,105.16,287.0,58,47,0.66,RU,1595288163
chipata,-13.63,32.65,284.31,88,2,2.86,ZM,1595288163
poum,-20.23,164.02,294.7,62,4,4.45,NC,1595288163
zubtsov,56.18,34.59,286.29,92,5,2.19,RU,1595288164
mbandaka,0.05,18.26,293.85,88,0,1.38,CD,1595288164
rio gallegos,-51.62,-69.22,266.15,100,1,1.5,AR,1595288164
touros,-5.2,-35.46,296.15,94,75,4.1,BR,1595288164
cabo san lucas,22.89,-109.91,308.15,43,40,8.2,MX,1595288164
kailua,21.4,-157.74,302.15,54,75,6.7,US,1595288164
muisne,0.6,-80.03,296.13,87,76,5.29,EC,1595288158
salalah,17.02,54.09,300.15,94,90,2.6,OM,1595288164
komsomolskiy,40.43,71.72,297.15,36,33,3.1,UZ,1595288164
pacific grove,36.62,-121.92,294.82,68,1,5.7,US,1595287881
leningradskiy,69.38,178.42,282.01,62,0,5.3,RU,1595288165
lata,40.16,-8.33,294.26,72,36,1.46,PT,1595287930
waipawa,-41.41,175.52,285.37,85,75,3.75,NZ,1595288165
chuy,-33.7,-53.46,293.24,82,100,4.43,UY,1595288165
bethel,41.37,-73.41,304.26,45,1,2.6,US,1595288121
soe,-9.86,124.28,293.51,78,68,2.92,ID,1595288165
padang,-0.95,100.35,298.86,76,64,2.65,ID,1595288165
lompoc,34.64,-120.46,294.15,60,1,7.2,US,1595288165
klaksvik,62.23,-6.59,282.15,100,33,1.0,FO,1595288165
lasa,46.62,10.7,288.15,77,5,0.83,IT,1595288165
ostrovnoy,68.05,39.51,289.3,62,21,4.55,RU,1595288011
tabuk,17.42,121.44,300.4,74,8,0.95,PH,1595288165
camopi,3.17,-52.32,295.93,96,100,1.17,GF,1595288166
la ronge,55.1,-105.28,293.15,72,75,4.1,CA,1595288027
lima,-12.04,-77.03,290.15,77,75,4.1,PE,1595287823
jumla,29.27,82.18,288.1,68,97,1.05,NP,1595288166
khakhea,-24.69,23.49,282.08,47,0,3.67,BW,1595288166
victoria,22.29,114.16,303.71,83,95,1.34,HK,1595288147
martapura,-3.42,114.85,297.15,94,20,1.5,ID,1595287884
puttur,12.77,75.22,298.15,88,75,1.5,IN,1595288166
coihaique,-45.58,-72.07,274.15,86,90,1.5,CL,1595288166
kruisfontein,-34.0,24.73,286.57,93,85,2.76,ZA,1595288166
horizontina,-27.63,-54.31,289.26,91,76,2.34,BR,1595288166
neyshabur,36.21,58.8,296.97,20,0,1.71,IR,1595288099
hilton head island,32.22,-80.75,304.82,66,1,3.6,US,1595288163
bairnsdale,-37.83,147.62,284.82,75,45,0.45,AU,1595288167
port lincoln,-34.73,135.87,285.23,72,33,2.59,AU,1595288167
kars,40.6,43.09,288.15,87,0,1.0,TR,1595288167
nassjo,57.65,14.7,284.15,87,0,4.1,SE,1595288167
grand bank,47.1,-55.77,289.71,88,98,7.43,CA,1595288167
dhekiajuli,26.7,92.5,297.84,95,100,3.59,IN,1595288167
katsuura,35.13,140.3,298.15,88,75,0.5,JP,1595287902
bayanday,53.07,105.51,286.59,58,61,1.73,RU,1595288167
miloslavskoye,53.58,39.44,287.01,94,16,3.51,RU,1595288167
faya,18.39,42.45,292.15,63,77,2.73,SA,1595288167
bisira,8.52,-81.71,289.22,100,100,0.44,PA,1595288168
farrukhnagar,17.08,78.2,297.59,94,75,1.5,IN,1595288168
skibbereen,51.55,-9.27,285.15,76,20,4.1,IE,1595288168
karratha,-20.74,116.85,292.05,53,0,5.46,AU,1595287903
freeport,40.66,-73.58,307.15,38,20,4.6,US,1595287965
cidreira,-30.18,-50.21,292.57,77,81,3.1,BR,1595287990
sept-iles,50.2,-66.38,298.15,57,75,4.6,CA,1595288168
labuan,5.28,115.24,300.15,94,20,3.12,MY,1595288168
sihora,23.48,80.12,300.22,79,100,2.91,IN,1595288168
bairiki,1.33,172.98,303.15,70,40,3.1,KI,1595288168
tagusao,9.19,117.81,301.39,72,66,2.56,PH,1595288169
kem,64.96,34.58,288.26,64,19,2.18,RU,1595288169
datong,40.09,113.29,297.37,45,87,2.23,CN,1595288169
kamaishi,39.27,141.88,295.15,94,75,1.0,JP,1595288169
etchojoa,26.92,-109.63,306.15,43,75,5.1,MX,1595288169
ilulissat,69.22,-51.1,285.15,50,88,0.5,GL,1595287886
belmonte,-15.86,-38.88,297.15,73,40,4.1,BR,1595288169
ylivieska,64.08,24.55,290.93,93,61,0.37,FI,1595288169
tjome,59.11,10.39,286.48,62,16,3.6,NO,1595288169
nanning,22.82,108.32,300.15,88,20,1.0,CN,1595288169
airai,-8.93,125.41,290.58,68,69,1.49,TL,1595287914
yaroslavskiy,44.17,132.21,295.02,79,84,2.5,RU,1595288170
bengkulu,-3.8,102.27,297.47,88,66,2.4,ID,1595288170
luwingu,-10.26,29.93,283.03,81,30,1.95,ZM,1595288044
hobyo,5.35,48.53,298.44,71,69,10.7,SO,1595288170
verkhnevilyuysk,63.45,120.32,290.26,97,100,1.57,RU,1595288170
duldurga,50.68,113.59,288.22,50,63,4.31,RU,1595288170
faanui,-16.48,-151.75,298.37,82,45,11.46,PF,1595288148
mapiripan,2.89,-72.13,297.28,89,87,1.26,CO,1595288170
itarema,-2.92,-39.92,298.23,82,78,6.43,BR,1595287874
barrow,71.29,-156.79,275.15,74,75,3.1,US,1595288170
monte san giovanni campano,41.64,13.51,295.93,72,1,1.76,IT,1595288171
beaumont,30.09,-94.1,303.15,70,40,4.1,US,1595288147
roma,43.21,-75.46,301.15,51,75,5.1,US,1595287903
bilma,18.69,12.92,305.45,24,15,3.47,NE,1595288051
antalaha,-14.9,50.28,292.34,84,15,4.44,MG,1595288171
shaunavon,49.65,-108.42,294.24,51,30,6.48,CA,1595288171
novolabinskaya,45.11,39.89,298.71,57,40,3.0,RU,1595288171
kandrian,-6.22,149.55,300.45,82,20,5.37,PG,1595288171
cap malheureux,-19.98,57.61,293.71,53,64,3.13,MU,1595288171
strelka,58.07,93.03,286.96,89,48,3.58,RU,1595288171
hamilton,39.18,-84.53,304.82,48,40,1.5,US,1595288171
hargeysa,9.56,44.06,294.66,54,83,9.59,SO,1595288172
nantucket,41.28,-70.1,297.59,94,90,3.6,US,1595288172
villa florida,-26.38,-57.15,294.59,70,55,3.25,PY,1595288172
rockhampton,-23.38,150.5,290.15,42,96,2.31,AU,1595288172
namie,37.48,141.0,294.82,97,100,3.61,JP,1595288172
port blair,11.67,92.75,300.28,78,100,1.87,IN,1595288172
husavik,66.04,-17.34,282.15,81,66,2.1,IS,1595288172
altamira,-3.2,-52.21,298.55,63,84,1.2,BR,1595288172
bathsheba,13.22,-59.52,301.15,65,20,8.2,BB,1595287899
udachnyy,66.42,112.4,284.15,93,90,3.0,RU,1595288172
saint george,37.1,-113.58,314.15,10,1,9.3,US,1595288173
sawakin,19.11,37.33,306.44,38,89,2.31,SD,1595288173
kashmor,28.43,69.58,305.06,61,4,6.07,PK,1595288173
cherskiy,68.75,161.3,296.64,32,94,2.95,RU,1595287996
xiaoshan,30.17,120.26,299.15,94,20,1.0,CN,1595288173
baghdad,33.34,44.4,305.15,19,0,5.1,IQ,1595288067
urla,38.32,26.76,300.15,42,0,6.7,TR,1595288173
nanae,41.88,140.68,293.15,94,75,1.5,JP,1595288173
vestmannaeyjar,63.44,-20.27,283.17,74,0,1.69,IS,1595288124
kalmunai,7.42,81.82,299.94,82,100,0.74,LK,1595288173
nsanje,-16.92,35.26,289.06,92,3,0.92,MW,1595288125
avera,33.19,-82.53,304.15,94,90,5.7,US,1595288173
saint-ambroise,48.55,-71.33,295.15,56,20,7.2,CA,1595288174
los llanos de aridane,28.66,-17.92,296.15,69,75,8.2,ES,1595288174
bom jesus,-9.07,-44.36,295.34,48,15,1.64,BR,1595288174
liancheng,24.05,105.08,293.32,94,78,1.04,CN,1595288174
meulaboh,4.14,96.13,298.14,87,97,0.4,ID,1595288174
ancud,-41.87,-73.82,281.15,87,90,2.1,CL,1595288138
berlevag,70.86,29.09,287.32,84,100,2.92,NO,1595288174
comodoro rivadavia,-45.87,-67.5,278.15,86,90,4.6,AR,1595288174
verkhoyansk,67.54,133.38,300.46,54,76,2.3,RU,1595288174
pangnirtung,66.15,-65.71,281.15,93,75,6.7,CA,1595287876
caluquembe,-13.78,14.68,282.02,53,0,0.62,AO,1595288175
asyut,27.18,31.18,299.15,34,0,3.1,EG,1595288175
annau,37.89,58.52,305.15,18,0,4.1,TM,1595288175
trairi,-3.28,-39.27,297.87,84,81,5.76,BR,1595288116
mezen,65.85,44.24,286.74,81,0,2.17,RU,1595288175
atar,20.52,-13.05,307.45,27,4,2.35,MR,1595288011
sao jose da coroa grande,-8.9,-35.15,296.63,75,37,5.52,BR,1595287941
quatre cocos,-20.21,57.76,293.71,68,75,5.1,MU,1595288175
buala,-8.14,159.59,301.16,80,40,4.42,SB,1595287896
biak,-0.91,122.88,299.49,75,25,2.43,ID,1595288175
udalguri,26.77,92.13,297.81,94,100,2.97,IN,1595288175
devli,25.75,75.38,302.51,65,100,5.99,IN,1595288176
vardo,70.37,31.11,288.34,80,100,2.8,NO,1595288176
ahipara,-35.17,173.17,288.37,87,70,4.66,NZ,1595288176
kavieng,-2.57,150.8,302.52,71,67,4.36,PG,1595288176
leshukonskoye,64.9,45.76,286.5,82,0,2.13,RU,1595288176
fatezh,52.09,35.86,287.29,90,0,2.6,RU,1595288176
namibe,-15.2,12.15,291.82,62,5,0.78,AO,1595288176
yermakovskoye,53.28,92.4,290.4,79,5,0.46,RU,1595288176
san cristobal,7.77,-72.22,302.15,51,40,9.3,VE,1595288130
lebu,-37.62,-73.65,283.53,84,96,5.49,CL,1595288176
fort nelson,58.81,-122.7,298.15,44,75,2.1,CA,1595288173
luanda,-8.84,13.23,294.15,88,20,3.1,AO,1595287875
luwuk,-0.95,122.79,300.25,70,22,2.11,ID,1595288177
iqaluit,63.75,-68.51,280.15,100,75,1.5,CA,1595288161
sechura,-5.56,-80.82,291.44,76,5,7.43,PE,1595288177
antofagasta,-23.65,-70.4,287.15,82,75,2.6,CL,1595287926
vostok,46.49,135.88,288.85,100,100,0.52,RU,1595288150
broken hill,-31.95,141.43,281.15,75,97,4.6,AU,1595288177
pocos de caldas,-21.79,-46.56,285.89,79,0,1.18,BR,1595288177
carutapera,-1.2,-46.02,297.63,86,55,2.57,BR,1595288177
peterhead,57.51,-1.8,284.15,87,75,4.1,GB,1595288128
nakamura,32.98,132.93,304.76,60,100,0.83,JP,1595288177
viedma,-40.81,-63.0,282.04,92,100,0.89,AR,1595288178
awjilah,29.11,21.29,297.96,51,0,3.64,LY,1595287930
andenes,69.31,16.12,285.15,81,100,2.1,NO,1595288178
conway,35.09,-92.44,306.15,55,75,5.7,US,1595288152
beringovskiy,63.05,179.32,281.12,78,42,5.13,RU,1595287897
saint-philippe,-21.36,55.77,292.15,63,75,3.1,RE,1595288178
taoudenni,22.68,-3.98,309.25,24,10,5.56,ML,1595288178
nemuro,43.32,145.57,289.76,92,100,2.56,JP,1595288178
channel-port aux basques,47.57,-59.14,291.24,82,80,3.14,CA,1595288178
daru,-9.08,143.21,299.56,81,34,5.8,PG,1595288014
rochegda,62.8,43.25,288.48,90,14,1.99,RU,1595288178
tornio,65.85,24.15,291.15,82,75,3.1,FI,1595288179
nyurba,63.28,118.33,289.57,96,100,2.32,RU,1595288179
jiayuguan,39.82,98.3,297.44,27,100,6.17,CN,1595288179
sembakung,3.82,117.25,298.23,94,64,0.99,ID,1595288179
coolum beach,-26.53,153.1,290.37,69,100,1.34,AU,1595288179
ixtapa,20.7,-105.2,303.71,79,75,4.1,MX,1595288179
broome,42.25,-75.83,300.15,47,1,3.6,US,1595288179
esperance,-33.87,121.9,282.15,76,65,3.6,AU,1595288179
maceio,-9.67,-35.74,295.15,88,20,0.5,BR,1595287960
suicheng,33.9,117.93,297.51,87,100,2.11,CN,1595288179
beyneu,45.32,55.2,300.42,27,0,1.85,KZ,1595288180
gao,16.64,1.64,303.8,42,34,4.12,ML,1595287887
rawson,-43.3,-65.1,280.12,78,92,7.92,AR,1595287907
vanimo,-2.67,141.3,302.36,66,56,3.38,PG,1595287923
shingu,33.73,135.98,301.15,74,99,1.5,JP,1595288180
trelew,-43.25,-65.31,279.71,77,91,7.54,AR,1595287928
palu,-0.89,119.87,299.76,75,19,1.29,ID,1595288180
acari,-15.43,-74.62,289.55,65,86,1.88,PE,1595288180
abu zabad,12.35,29.25,296.97,77,16,2.52,SD,1595288180
tura,25.52,90.22,296.75,99,100,2.34,IN,1595287889
olinda,-8.01,-34.86,299.15,65,20,5.1,BR,1595288180
dawlatabad,36.41,64.91,297.34,22,0,1.36,AF,1595288180
fulton,33.77,-84.45,305.93,65,75,9.8,US,1595288181
paamiut,61.99,-49.67,280.95,79,99,0.85,GL,1595288181
pendleton,45.67,-118.79,309.82,15,1,2.1,US,1595288181
torbay,47.67,-52.73,292.15,88,90,7.7,CA,1595288116
hualmay,-11.1,-77.61,288.86,84,8,3.58,PE,1595288181
kavaratti,10.57,72.64,301.28,79,100,9.63,IN,1595288181
nuevo imperial,-13.08,-76.32,288.54,82,43,1.4,PE,1595288181
lianzhou,24.78,112.38,299.98,82,88,1.11,CN,1595288181
port hedland,-20.32,118.57,291.15,45,0,5.1,AU,1595288181
cooma,-36.23,149.13,277.15,80,40,8.2,AU,1595288181
thinadhoo,0.53,72.93,302.05,77,98,6.94,MV,1595288181
kemijarvi,66.71,27.43,288.32,90,69,1.64,FI,1595288182
bella vista,36.43,-94.23,305.37,55,1,1.5,US,1595288142
gravdal,68.12,13.5,284.63,79,90,2.17,NO,1595288182
cascais,38.7,-9.42,297.04,51,99,4.92,PT,1595288182
marand,38.43,45.77,304.15,33,75,7.2,IR,1595288182
sattahip,12.67,100.9,300.15,83,20,2.1,TH,1595288182
wanning,18.8,110.4,302.08,78,98,2.63,CN,1595288182
fairbanks,64.84,-147.72,295.37,52,90,3.1,US,1595288182
churachandpur,24.33,93.67,293.78,97,100,0.82,IN,1595288081
nouakchott,18.09,-15.98,299.15,83,20,5.1,MR,1595288059
dunedin,-45.87,170.5,285.7,58,91,3.71,NZ,1595287884
gorom-gorom,14.44,-0.24,305.25,44,11,5.73,BF,1595288183
luderitz,-26.65,15.16,291.15,34,0,3.6,NA,1595288124
kastamonu,41.5,33.67,287.62,93,3,2.19,TR,1595288183
bajil,15.06,43.29,304.17,48,69,2.1,YE,1595288183
anadyr,64.75,177.48,287.15,50,20,3.0,RU,1595288175
kahului,20.89,-156.47,306.15,43,20,10.3,US,1595288183
yarmouth,41.71,-70.23,301.48,78,1,3.1,US,1595288183
lethem,3.38,-59.8,298.14,85,97,1.75,GY,1595288183
kodinsk,58.69,99.18,287.65,62,62,0.8,RU,1595288184
bjornevatn,69.67,29.98,287.15,100,40,2.6,NO,1595288184
bandarbeyla,9.49,50.81,298.79,67,100,12.99,SO,1595288184
the valley,18.22,-63.06,302.15,74,20,4.6,AI,1595288184
hami,42.8,93.45,303.87,21,100,2.35,CN,1595287993
riyadh,24.69,46.72,309.15,11,60,4.1,SA,1595288121
madisonville,37.33,-87.5,296.15,94,75,2.1,US,1595288184
santa cruz,-17.8,-63.17,301.15,61,40,6.7,BO,1595288138
bontang,0.13,117.5,298.83,88,50,2.34,ID,1595288184
bundaberg,-24.85,152.35,293.15,63,100,4.1,AU,1595288184
hambantota,6.12,81.12,299.51,82,100,4.17,LK,1595288185
socuellamos,39.29,-2.79,293.71,70,0,4.47,ES,1595288185
revda,56.8,59.93,288.15,100,75,3.0,RU,1595288185
kakching,24.48,93.98,294.96,93,100,0.26,IN,1595288185
reconquista,-29.15,-59.65,296.26,65,100,4.04,AR,1595288185
bereda,43.27,-7.54,290.37,98,84,4.02,ES,1595288185
ewo,-0.87,14.82,296.34,80,99,2.27,CG,1595288185
lumberton,34.62,-79.01,306.15,88,20,4.6,US,1595288185
monroe,43.15,-77.68,300.37,51,40,4.1,US,1595288185
san felipe,10.34,-68.74,296.58,91,85,1.16,VE,1595288185
fare,-16.7,-151.02,298.48,79,39,11.29,PF,1595287993
angoche,-16.23,39.91,293.67,84,14,4.37,MZ,1595288186
emba,48.83,58.14,296.06,39,77,2.46,KZ,1595288186
saint-joseph,-21.37,55.62,292.15,63,75,3.1,RE,1595288186
nador,35.17,-2.93,298.15,83,58,1.5,MA,1595288186
sobolevo,54.43,31.9,286.75,91,52,2.38,RU,1595288186
rorvik,64.86,11.24,285.56,75,100,5.9,NO,1595288186
xapuri,-10.65,-68.5,298.82,65,38,0.95,BR,1595287905
tartagal,-22.52,-63.8,296.76,68,32,0.73,AR,1595288186
moose factory,51.26,-80.61,291.15,72,75,3.1,CA,1595287942
vila velha,-20.33,-40.29,297.59,88,75,1.5,BR,1595288187
grand-santi,4.25,-54.38,296.68,95,99,1.15,GF,1595288187
